image_path,true_label,predicted_label,correct,confidence,inference_time_sec,model_name,split
data/processed/test\Agaricus\003_4AurAO4Jil8.jpg,Agaricus,Amanita,False,0.2937853634357452,0.02738529999624,BaselineCNN,test
data/processed/test\Agaricus\014_DU4RE5bim5A.jpg,Agaricus,Amanita,False,0.9975759387016296,0.0150177000032272,BaselineCNN,test
data/processed/test\Agaricus\016_qNYODERZEms.jpg,Agaricus,Russula,False,0.8700361251831055,0.009890399989672,BaselineCNN,test
data/processed/test\Agaricus\019_aaTsKm7exKE.jpg,Agaricus,Lactarius,False,0.4976244866847992,0.00896439999633,BaselineCNN,test
data/processed/test\Agaricus\020_vZJfrjIwmqU.jpg,Agaricus,Agaricus,True,0.3730854988098144,0.0109677000000374,BaselineCNN,test
data/processed/test\Agaricus\029_ZksYQQBGVIg.jpg,Agaricus,Cortinarius,False,0.6402633786201477,0.0150240999937523,BaselineCNN,test
data/processed/test\Agaricus\048_iC9glWRw_EM.jpg,Agaricus,Agaricus,True,0.99889874458313,0.0091871000040555,BaselineCNN,test
data/processed/test\Agaricus\052_z7PpmpKIPU4.jpg,Agaricus,Agaricus,True,0.9160431027412416,0.011446500007878,BaselineCNN,test
data/processed/test\Agaricus\055_Cggc3hvlPfg.jpg,Agaricus,Agaricus,True,0.6198079586029053,0.0210963999998057,BaselineCNN,test
data/processed/test\Agaricus\057_n1EFvW3JrYo.jpg,Agaricus,Exidia,False,0.4966496229171753,0.0080730999907245,BaselineCNN,test
data/processed/test\Agaricus\063_Fa4IMCTXq04.jpg,Agaricus,Agaricus,True,0.9237260222434998,0.0092393000086303,BaselineCNN,test
data/processed/test\Agaricus\069_W-jISbXJon8.jpg,Agaricus,Cortinarius,False,0.4984895586967468,0.0119735000043874,BaselineCNN,test
data/processed/test\Agaricus\075_osC0agHm9UY.jpg,Agaricus,Agaricus,True,0.692423939704895,0.008093699987512,BaselineCNN,test
data/processed/test\Agaricus\083_mx9HfmWGwWo.jpg,Agaricus,Lactarius,False,0.932833194732666,0.0084643000009236,BaselineCNN,test
data/processed/test\Agaricus\091_3BEGnmvAiRw.jpg,Agaricus,Inocybe,False,0.8047255277633667,0.0088500999991083,BaselineCNN,test
data/processed/test\Agaricus\093_Bz-kiIMN6EA.jpg,Agaricus,Lactarius,False,0.7944731712341309,0.0124846999970031,BaselineCNN,test
data/processed/test\Agaricus\115_Jd1nw0g-Z5c.jpg,Agaricus,Cortinarius,False,0.8049973845481873,0.0067201000056229,BaselineCNN,test
data/processed/test\Agaricus\127_5z4-vDJFDS8.jpg,Agaricus,Agaricus,True,0.6069635152816772,0.0084971000032965,BaselineCNN,test
data/processed/test\Agaricus\128_iITC2t8k-ao.jpg,Agaricus,Lactarius,False,0.616899311542511,0.0096063999953912,BaselineCNN,test
data/processed/test\Agaricus\129_E1FD01dZMiw.jpg,Agaricus,Cortinarius,False,0.5360633134841919,0.0037046000070404,BaselineCNN,test
data/processed/test\Agaricus\131_YrsaHYXAieo.jpg,Agaricus,Cortinarius,False,0.9799796342849731,0.0041391999984625,BaselineCNN,test
data/processed/test\Agaricus\141_099PmS-9Xww.jpg,Agaricus,Agaricus,True,0.9569809436798096,0.004174800007604,BaselineCNN,test
data/processed/test\Agaricus\147_eDN4yYIkeAs.jpg,Agaricus,Agaricus,True,0.9999427795410156,0.0051019999955315,BaselineCNN,test
data/processed/test\Agaricus\162_19HDdc3YjRs.jpg,Agaricus,Russula,False,0.8893018364906311,0.0043802000000141,BaselineCNN,test
data/processed/test\Agaricus\169_qqgFJZ8Zt4g.jpg,Agaricus,Lactarius,False,0.8403946757316589,0.0027329000004101,BaselineCNN,test
data/processed/test\Agaricus\171_wN-s2yo8YTs.jpg,Agaricus,Russula,False,0.6147016882896423,0.0041941000090446,BaselineCNN,test
data/processed/test\Agaricus\179_jfF8TJ9ZlvU.jpg,Agaricus,Russula,False,0.9403626918792723,0.0029025000112596,BaselineCNN,test
data/processed/test\Agaricus\206_W3JvSvV8oF8.jpg,Agaricus,Lactarius,False,0.4952300190925598,0.0029376999882515,BaselineCNN,test
data/processed/test\Agaricus\211_2k-2vImOD5g.jpg,Agaricus,Inocybe,False,0.7940077781677246,0.0025197999930242,BaselineCNN,test
data/processed/test\Agaricus\213_o8ynZBRKBSE.jpg,Agaricus,Boletus,False,0.8097459077835083,0.0024446000024909,BaselineCNN,test
data/processed/test\Agaricus\226_0du5e8k_cCA.jpg,Agaricus,Russula,False,0.8124719262123108,0.0043619999923976,BaselineCNN,test
data/processed/test\Agaricus\228_2SjHadDRW6o.jpg,Agaricus,Lactarius,False,0.3728944957256317,0.0050977000064449,BaselineCNN,test
data/processed/test\Agaricus\237_y2JGdND-zxI.jpg,Agaricus,Boletus,False,0.8499152064323425,0.0036117999989073,BaselineCNN,test
data/processed/test\Agaricus\238_I1p90MwfEEw.jpg,Agaricus,Amanita,False,0.951336681842804,0.0045212999975774,BaselineCNN,test
data/processed/test\Agaricus\270_Js1q2S-fR_Y.jpg,Agaricus,Agaricus,True,0.7857720255851746,0.0037407999916467,BaselineCNN,test
data/processed/test\Agaricus\272_r-A9DMTwWoM.jpg,Agaricus,Russula,False,0.3682912588119507,0.004604300003848,BaselineCNN,test
data/processed/test\Agaricus\294_kPCOGW3Y_Ak.jpg,Agaricus,Amanita,False,0.6197471618652344,0.0055132999987108,BaselineCNN,test
data/processed/test\Agaricus\300_VSw-oPLasfg.jpg,Agaricus,Entoloma,False,0.904402196407318,0.0050715999968815,BaselineCNN,test
data/processed/test\Agaricus\323_5Es9oQ3LeGk.jpg,Agaricus,Cortinarius,False,0.9999793767929076,0.002923499996541,BaselineCNN,test
data/processed/test\Agaricus\349_Euf9XZEVTMc.jpg,Agaricus,Cortinarius,False,0.9675313234329224,0.0028510999982245,BaselineCNN,test
data/processed/test\Agaricus\354_VP-DWvLyI3w.jpg,Agaricus,Lactarius,False,0.3599422872066498,0.0045939999981783,BaselineCNN,test
data/processed/test\Agaricus\357__w_XUQZMZEw.jpg,Agaricus,Agaricus,True,0.9999891519546508,0.0042669999966165,BaselineCNN,test
data/processed/test\Agaricus\366_XEI1sAQds7w.jpg,Agaricus,Agaricus,True,0.9955140948295592,0.0028577000048244,BaselineCNN,test
data/processed/test\Agaricus\374_Xap1L15Z8BM.jpg,Agaricus,Entoloma,False,0.9371818900108336,0.0047154000058071,BaselineCNN,test
data/processed/test\Agaricus\384_T_p5cKpLpsc.jpg,Agaricus,Agaricus,True,0.7974218726158142,0.004599899999448,BaselineCNN,test
data/processed/test\Agaricus\385_iwfhPs4irjk.jpg,Agaricus,Amanita,False,0.8265133500099182,0.0029085999995004,BaselineCNN,test
data/processed/test\Agaricus\391_N7A0y7CgOA0.jpg,Agaricus,Amanita,False,0.3750470876693725,0.0026526000001467,BaselineCNN,test
data/processed/test\Agaricus\392_QXsLZMnBIt0.jpg,Agaricus,Lactarius,False,0.4559627771377563,0.0045814000040991,BaselineCNN,test
data/processed/test\Agaricus\411_egeAEeL40Lc.jpg,Agaricus,Cortinarius,False,0.8041541576385498,0.0050008999969577,BaselineCNN,test
data/processed/test\Agaricus\413_4LTr0R0Dk8o.jpg,Agaricus,Cortinarius,False,0.27884641289711,0.0043806000030599,BaselineCNN,test
data/processed/test\Agaricus\430_IpjdsyrmIzc.jpg,Agaricus,Amanita,False,0.7466749548912048,0.0039935999957378,BaselineCNN,test
data/processed/test\Agaricus\433_XWxLl-zeNQ8.jpg,Agaricus,Amanita,False,0.8848843574523926,0.0040960000042105,BaselineCNN,test
data/processed/test\Agaricus\438_uTWjQsEXep4.jpg,Agaricus,Amanita,False,0.2245341390371322,0.0043489999952726,BaselineCNN,test
data/processed/test\Agaricus\439_w5uD0w5wrXs.jpg,Agaricus,Russula,False,0.4674237966537475,0.0043095000000903,BaselineCNN,test
data/processed/test\Amanita\004_wIVV5id0aOg.jpg,Amanita,Exidia,False,0.3541040122509002,0.004090400005225,BaselineCNN,test
data/processed/test\Amanita\010_Ji4N7IDyRKY.jpg,Amanita,Amanita,True,0.5974949598312378,0.0048429999878862,BaselineCNN,test
data/processed/test\Amanita\011_DoZoYI2vj20.jpg,Amanita,Russula,False,0.9981589913368224,0.0023756000009598,BaselineCNN,test
data/processed/test\Amanita\026_8kxG9731_4w.jpg,Amanita,Agaricus,False,0.3453688621520996,0.0041292000096291,BaselineCNN,test
data/processed/test\Amanita\027_i47VTXypFTE.jpg,Amanita,Boletus,False,0.9939842820167542,0.0039954000094439,BaselineCNN,test
data/processed/test\Amanita\038_VKaJLTO8zZU.jpg,Amanita,Lactarius,False,0.5550438761711121,0.002474599998095,BaselineCNN,test
data/processed/test\Amanita\041_6n9nhA4C6K8.jpg,Amanita,Russula,False,0.6310206055641174,0.0027873999933945,BaselineCNN,test
data/processed/test\Amanita\042_aqfiTPuiGHo.jpg,Amanita,Boletus,False,0.2676786482334137,0.0027501000004122,BaselineCNN,test
data/processed/test\Amanita\044_BvKKMmJ6Nfo.jpg,Amanita,Russula,False,0.9498816132545472,0.0024666000099387,BaselineCNN,test
data/processed/test\Amanita\048_3CAOSWVxhe0.jpg,Amanita,Cortinarius,False,0.7894309759140015,0.0024676999892108,BaselineCNN,test
data/processed/test\Amanita\055_riJalDjBcnI.jpg,Amanita,Boletus,False,0.7451983690261841,0.0026326000079279,BaselineCNN,test
data/processed/test\Amanita\075_3gL0KWhOrbs.jpg,Amanita,Entoloma,False,0.4818924963474273,0.0024654000008013,BaselineCNN,test
data/processed/test\Amanita\081_C-pQjIw3h7M.jpg,Amanita,Boletus,False,0.4591387808322906,0.0024982000031741,BaselineCNN,test
data/processed/test\Amanita\083_GAJUFRatKvg.jpg,Amanita,Lactarius,False,0.7803221344947815,0.0024494000099366,BaselineCNN,test
data/processed/test\Amanita\101_m1QUT_IvswY.jpg,Amanita,Amanita,True,0.7534268498420715,0.0023895999911474,BaselineCNN,test
data/processed/test\Amanita\109_mApfQHzHo0k.jpg,Amanita,Lactarius,False,0.4707196354866028,0.0026201000000583,BaselineCNN,test
data/processed/test\Amanita\112_v5maqRj9Z_w.jpg,Amanita,Lactarius,False,0.4826253652572632,0.002492900006473,BaselineCNN,test
data/processed/test\Amanita\113_Ssk7arItOnk.jpg,Amanita,Lactarius,False,0.9661617875099182,0.0023841999936848,BaselineCNN,test
data/processed/test\Amanita\116_V-662GMGI6U.jpg,Amanita,Cortinarius,False,0.4396695792675018,0.0024636999878566,BaselineCNN,test
data/processed/test\Amanita\117_2i4Ly-hB5rY.jpg,Amanita,Amanita,True,0.994208574295044,0.0027696000033756,BaselineCNN,test
data/processed/test\Amanita\121_0mE3kiyOk4k.jpg,Amanita,Boletus,False,0.7657796740531921,0.0025012999976752,BaselineCNN,test
data/processed/test\Amanita\125_jnNJwiuIHj0.jpg,Amanita,Amanita,True,0.9768375158309937,0.0027214000001549,BaselineCNN,test
data/processed/test\Amanita\138_kCA0Zae2KX0.jpg,Amanita,Amanita,True,0.7257055640220642,0.0024685999960638,BaselineCNN,test
data/processed/test\Amanita\141_zaaLqAyIHuQ.jpg,Amanita,Lactarius,False,0.3904707729816437,0.002815300002112,BaselineCNN,test
data/processed/test\Amanita\143_ZpRWUcr7GhA.jpg,Amanita,Lactarius,False,0.7130836844444275,0.0033661999914329,BaselineCNN,test
data/processed/test\Amanita\145_2JCprUI2Ugw.jpg,Amanita,Russula,False,0.7787801027297974,0.0024782000109553,BaselineCNN,test
data/processed/test\Amanita\159_majDHo2IG8U.jpg,Amanita,Amanita,True,0.6080313920974731,0.0027938999992329,BaselineCNN,test
data/processed/test\Amanita\160_2Xs6Ueh19D4.jpg,Amanita,Lactarius,False,0.92774498462677,0.0024122999893734,BaselineCNN,test
data/processed/test\Amanita\166_wCNIOK2FS_U.jpg,Amanita,Agaricus,False,0.656944990158081,0.0027246999961789,BaselineCNN,test
data/processed/test\Amanita\167_oTHBDUWfBxA.jpg,Amanita,Lactarius,False,0.5679420828819275,0.002830500001437,BaselineCNN,test
data/processed/test\Amanita\169_ODaDqR_tlG0.jpg,Amanita,Russula,False,0.99919456243515,0.002442199998768,BaselineCNN,test
data/processed/test\Amanita\171_6GMgYtjBa8k.jpg,Amanita,Amanita,True,0.7345403432846069,0.0028058000025339,BaselineCNN,test
data/processed/test\Amanita\173_jqvVZF8AWxg.jpg,Amanita,Agaricus,False,0.9815239310264589,0.0027546000055735,BaselineCNN,test
data/processed/test\Amanita\175_wCfYH50cXu8.jpg,Amanita,Russula,False,0.9965081810951232,0.002500599992345,BaselineCNN,test
data/processed/test\Amanita\192_uQQGhgvOkTI.jpg,Amanita,Cortinarius,False,0.8739486932754517,0.0027626999944914,BaselineCNN,test
data/processed/test\Amanita\194__2kBAgeqxZc.jpg,Amanita,Amanita,True,0.9328855872154236,0.0026184000016655,BaselineCNN,test
data/processed/test\Amanita\208_EvpNOUGmeVI.jpg,Amanita,Lactarius,False,0.9805035591125488,0.0027474999951664,BaselineCNN,test
data/processed/test\Amanita\215_XXWsMnFz1MI.jpg,Amanita,Amanita,True,0.9914513230323792,0.0028506999951787,BaselineCNN,test
data/processed/test\Amanita\219_d2on0Kw19Ds.jpg,Amanita,Amanita,True,0.5699054598808289,0.0024868000036804,BaselineCNN,test
